NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,산업통상자원부,(유)에스케이씨에보닉페록사이드코리아,울산광역시,2016,사업장,석유화학,"60,242",tCO₂eq,-,-,1195,TJ,-,-,(재)한국품질재단,-
2,농림축산식품부,(주)MH에탄올,경상남도,2016,사업장,음식료품,"23,971",tCO₂eq,-,-,287,TJ,-,-,(재)한국화학융합시험연구원,-
3,농림축산식품부,(주)MSC,경상남도,2016,사업장,음식료품,"25,332",tCO₂eq,-,-,506,TJ,-,-,대일이엔씨기술(주),-
4,산업통상자원부,(주)SIMPAC METALLOY,경상북도,2016,업체,광업,"334,985",tCO₂eq,243.55,tCO2eq/억원,3726,TJ,2.71,TJ/억원,안진회계법인,"137,543,470,935"
5,산업통상자원부,(주)SPP조선,경상남도,2016,사업장,조선,"50,797",tCO₂eq,-,-,898,TJ,-,-,한국생산성본부인증원(주),-
6,국토교통부,(주)가든파이브라이프,서울특별시,2016,사업장,건물,"11,114",tCO₂eq,-,-,239,TJ,-,-,산림조합중앙회,-
7,국토교통부,(주)강원랜드,강원도,2016,사업장,건물,"71,448",tCO₂eq,-,-,1403,TJ,-,-,한국표준협회,-
8,산업통상자원부,(주)건화,경상남도,2016,사업장,조선,"29,325",tCO₂eq,-,-,488,TJ,-,-,한국표준협회,-
9,국토교통부,(주)경기고속,경기도,2016,업체,교통,"178,894",tCO₂eq,60.78,tCO2eq/억원,2749,TJ,0.93,TJ/억원,(주)한국경영인증원,"294,323,186,000"
10,국토교통부,(주)경남고속,부산광역시,2016,사업장,교통,"26,731",tCO₂eq,-,-,378,TJ,-,-,(주)한국경영인증원,"109,967,005,000"
11,산업통상자원부,(주)경동,강원도,2016,업체,광업,"276,458",tCO₂eq,251.4,tCO2eq/억원,443,TJ,0.4,TJ/억원,(재)한국품질재단,"109,967,005,000"
12,산업통상자원부,(주)경방,서울특별시,2016,업체,석유화학,"63,753",tCO₂eq,20.31,tCO2eq/억원,1291,TJ,0.41,TJ/억원,한국생산성본부인증원(주),"313,876,822,000"
13,국토교통부,(주)경북코치서비스,대구광역시,2016,업체,교통,"61,494",tCO₂eq,69.71,tCO2eq/억원,867,TJ,0.98,TJ/억원,(주)한국경영인증원,"88,209,627,518"
14,산업통상자원부,(주)경신전선,충청남도,2016,사업장,반도체.디스플레이.전기전자,"16,078",tCO₂eq,-,-,328,TJ,-,-,한국표준협회,-
15,국토교통부,(주)국민은행,서울특별시,2016,업체,건물,"117,495",tCO₂eq,0.66,tCO2eq/억원,1749,TJ,0.01,TJ/억원,한국표준협회,"17,698,600,000,000"
16,산업통상자원부,(주)국일방적 정읍공장,전라북도,2016,사업장,석유화학,"23,716",tCO₂eq,-,-,487,TJ,-,-,대일이엔씨기술(주),"1,193,847,815,984"
17,농림축산식품부,(주)그린바이텍,전라북도,2016,사업장,음식료품,"5,857",tCO₂eq,-,-,264,TJ,-,-,(재)한국품질재단,-
18,환경부,(주)그린스코,인천광역시,2016,사업장,발전 · 에너지,"49,300",tCO₂eq,-,-,105,TJ,-,-,(주)한국경영인증원,-
19,국토교통부,(주)금남고속,대전광역시,2016,사업장,교통,"37,742",tCO₂eq,-,-,534,TJ,-,-,(주)한국경영인증원,-
20,산업통상자원부,(주)금비,경기도,2016,사업장,유리 · 요업,"85,034",tCO₂eq,-,-,1191,TJ,-,-,한국표준협회,-
21,산업통상자원부,(주)넥센,경상남도,2016,사업장,석유화학,"22,133",tCO₂eq,-,-,401,TJ,-,-,한국표준협회,-
22,국토교통부,(주)농협물류,서울특별시,2016,사업장,교통,"30,191",tCO₂eq,-,-,428,TJ,-,-,티유브이슈드코리아㈜,-
23,농림축산식품부,(주)농협사료,서울특별시,2016,업체,음식료품,"81,987",tCO₂eq,6.87,tCO2eq/억원,1592,TJ,0.13,TJ/억원,(재)한국품질재단,"1,193,847,815,984"
24,산업통상자원부,(주)단석산업 군산지점,전라북도,2016,사업장,조선,"32,183",tCO₂eq,-,-,356,TJ,-,-,한국표준협회,-
