NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,환경부,(유)에스케이씨에보닉페록사이드코리아,울산광역시,2019,사업장,석유화학,"53,909",tCO₂eq,-,-,"1,124",TJ,-,-,(재)한국품질재단,-
2,국토교통부,(유)호남고속,전라북도,2019,사업장,교통(여객),"24,809",tCO₂eq,-,-,384,TJ,-,-,(주)한국경영인증원,-
3,환경부,(주)HJ매그놀리아용평호텔앤리조트,강원도,2019,사업장,건물,"32,955",tCO₂eq,-,-,653,TJ,-,-,(재)한국품질재단,-
4,환경부,(주)HM금속,경상남도,2019,사업장,산업,"37,628",tCO₂eq,-,-,654,TJ,-,-,한국표준협회,-
5,농림축산식품부,(주)MH에탄올,경상남도,2019,사업장,음료제조업,"10,062",tCO₂eq,-,-,293,TJ,-,-,(재)한국화학융합시험연구원,-
6,환경부,(주)MSC,경상남도,2019,사업장,음식료품,"27,775",tCO₂eq,-,-,555,TJ,-,-,한국가스안전공사,-
7,환경부,(주)SIMPAC,인천광역시,2019,업체,산업,"463,352",tCO₂eq,118.21,tCO2eq/억원,"5,067",TJ,1.29,TJ/억원,한국표준협회,"391,970,769,000"
8,환경부,(주)강원랜드,강원도,2019,사업장,건물,"83,321",tCO₂eq,-,-,"1,686",TJ,-,-,한국표준협회,-
9,환경부,(주)건화,경상남도,2019,사업장,조선,"30,632",tCO₂eq,-,-,534,TJ,-,-,한국표준협회,-
10,국토교통부,(주)경기고속,경기도,2019,업체,교통(여객),"166,441",tCO₂eq,55.04,tCO2eq/억원,"2,550",TJ,0.84,TJ/억원,산림조합중앙회,"302,392,320,220"
11,국토교통부,(주)경남고속,부산광역시,2019,사업장,교통(여객),"26,528",tCO₂eq,-,-,375,TJ,-,-,(주)한국경영인증원,-
12,환경부,(주)경동,강원도,2019,업체,광업,"224,595",tCO₂eq,190.31,tCO2eq/억원,396,TJ,0.34,TJ/억원,(재)한국품질재단,"118,015,120,445"
13,산업통상자원부,(주)경동원,충청남도,2019,사업장,기계,"16,145",tCO₂eq,-,-,322,TJ,-,-,한국표준협회,-
14,산업통상자원부,(주)경방,서울특별시,2019,업체,섬유,"34,321",tCO₂eq,13.54,tCO2eq/억원,695,TJ,0.27,TJ/억원,한국생산성본부인증원(주),"253,552,382,000"
15,산업통상자원부,(주)경보제약,충청남도,2019,사업장,석유화학,"19,472",tCO₂eq,-,-,319,TJ,-,-,한국표준협회,-
16,산업통상자원부,(주)경신전선,충청남도,2019,사업장,반도체.디스플레이.전기전자,"15,862",tCO₂eq,-,-,324,TJ,-,-,한국표준협회,-
17,국토교통부,(주)공항리무진,서울특별시,2019,사업장,교통(여객),"32,171",tCO₂eq,-,-,456,TJ,-,-,(주)한국경영인증원,-
18,국토교통부,(주)국민은행,서울특별시,2019,업체,건물,"110,408",tCO₂eq,0.52,tCO2eq/억원,"1,661",TJ,0.01,TJ/억원,한국표준협회,"21,195,065,000,000"
19,산업통상자원부,(주)국일방적 정읍공장,전라북도,2019,사업장,섬유,"13,493",tCO₂eq,-,-,277,TJ,-,-,대일이엔씨기술(주),-
20,환경부,(주)그린스코,인천광역시,2019,사업장,폐기물,"47,279",tCO₂eq,-,-,108,TJ,-,-,(주)한국경영인증원,-
21,국토교통부,(주)금남고속,대전광역시,2019,사업장,교통(여객),"36,504",tCO₂eq,-,-,517,TJ,-,-,(주)한국경영인증원,-
22,환경부,(주)금비,경기도,2019,사업장,유리,"82,482",tCO₂eq,-,-,"1,200",TJ,-,-,한국표준협회,-
587,환경부,쌍용머티리얼(주),-,2019,사업장,자동차,"38,475",tCO₂eq,-,-,770,TJ,-,-,(재)한국품질재단,-
24,해양수산부,(주)남해고속,전라남도,2019,사업장,교통(해운),"22,361",tCO₂eq,-,-,317,TJ,-,-,㈜한국품질보증원,-
25,산업통상자원부,(주)네오오토 예산공장,충남,2019,사업장,자동차,"17,008",tCO₂eq,-,-,347,TJ,-,-,(주)한국경영인증원,-
26,산업통상자원부,(주)넥센,경상남도,2019,사업장,석유화학,"17,601",tCO₂eq,-,-,322,TJ,-,-,한국표준협회,-
27,국토교통부,(주)농협물류,서울특별시,2019,사업장,교통(화물),"29,178",tCO₂eq,-,-,413,TJ,-,-,한국표준협회,-
28,농림축산식품부,(주)농협사료,서울특별시,2019,업체,식료품 제조업,"83,394",tCO₂eq,6.41,tCO2eq/억원,"1,676",TJ,0.13,TJ/억원,(재)한국품질재단,"1,300,794,480,252"
29,환경부,(주)단석산업,전라북도,2019,사업장,비철금속,"51,233",tCO₂eq,-,-,778,TJ,-,-,한국표준협회,-
30,산업통상자원부,(주)대농 청원공장,충청북도,2019,사업장,섬유,"17,133",tCO₂eq,-,-,352,TJ,-,-,지속가능인증원주식회사,-
31,산업통상자원부,(주)대동세라믹,세종특별자치시,2019,사업장,유리 · 요업,"27,908",tCO₂eq,-,-,549,TJ,-,-,이큐에이㈜,-
32,환경부,(주)대림제지,경기도,2019,사업장,제지,"102,123",tCO₂eq,-,-,"1,624",TJ,-,-,이큐에이㈜,-
33,국토교통부,(주)대명티피앤이,강원도,2019,사업장,건물,"15,241",tCO₂eq,-,-,305,TJ,-,-,(주)한국경영인증원,-
34,산업통상자원부,(주)대승프론티어,충청남도,2019,사업장,유리 · 요업,"23,245",tCO₂eq,-,-,432,TJ,-,-,한국표준협회,-
35,국토교통부,(주)대우건설,서울특별시,2019,업체,건설,"66,199",tCO₂eq,0.82,tCO2eq/억원,"1,323",TJ,0.02,TJ/억원,한국표준협회,"8,091,938,554,000"
36,산업통상자원부,(주)대욱케스트,경상북도,2019,사업장,철강,"19,939",tCO₂eq,-,-,364,TJ,-,-,이큐에이㈜,-
37,국토교통부,(주)대원고속,경기도,2019,업체,교통(여객),"161,821",tCO₂eq,57.05,tCO2eq/억원,"2,483",TJ,0.88,TJ/억원,산림조합중앙회,"283,636,549,385"
38,국토교통부,(주)대원버스,서울특별시,2019,사업장,교통(여객),"33,005",tCO₂eq,-,-,563,TJ,-,-,산림조합중앙회,-
39,국토교통부,(주)대원여객,서울특별시,2019,사업장,교통(여객),"21,556",tCO₂eq,-,-,406,TJ,-,-,산림조합중앙회,-
40,국토교통부,(주)대원운수,서울특별시,2019,사업장,교통(여객),"38,143",tCO₂eq,-,-,643,TJ,-,-,산림조합중앙회,-
41,환경부,(주)대유코아,서울특별시,2019,사업장,시멘트,"72,757",tCO₂eq,-,-,749,TJ,-,-,한국생산성본부인증원(주),-
42,해양수산부,(주)대저해운,경상북도,2019,사업장,교통(해운),"19,416",tCO₂eq,-,-,278,TJ,-,-,한국표준협회,-
43,산업통상자원부,(주)대천텍스타일,경기도,2019,사업장,섬유,"13,653",tCO₂eq,-,-,257,TJ,-,-,한국표준협회,-
44,산업통상자원부,(주)대호피앤씨 포항공장,경상남도,2019,사업장,철강,"23,709",tCO₂eq,-,-,460,TJ,-,-,한국표준협회,-
45,환경부,(주)대화제지,경기도,2019,사업장,산업,"27,583",tCO₂eq,-,-,553,TJ,-,-,㈜한국품질보증원,-
46,산업통상자원부,(주)동남 서산공장,충청남도,2019,사업장,비철금속,"18,026",tCO₂eq,-,-,266,TJ,-,-,한국표준협회,-
