번호,관장기관,법인명,대상년도,지정구분,지정업종,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),검증수행기관,비고
1,국토교통부,(주)강원랜드,2011,업체,건물,"70,829 ","1,301 ",한국표준협회,
2,국토교통부,(주)경기고속,2011,업체,교통(여객),"167,188 ","2,540 ",(주)한국경영인증원,
3,국토교통부,(주)대명레저산업,2011,사업장,건물,"49,618 ",955 ,한국표준협회,
4,국토교통부,(주)대원고속,2011,업체,교통(여객),"152,566 ","2,277 ",(주)한국경영인증원,
5,국토교통부,(주)무주덕유산리조트,2011,사업장,건물,"27,636 ",465 ,이큐에이㈜,
6,국토교통부,(주)부산롯데호텔,2011,사업장,건물,"21,432 ",414 ,(재)한국품질재단,
7,국토교통부,(주)센트럴시티,2011,사업장,건물,"15,587 ",359 ,(주)기성이엠에스,
8,국토교통부,(주)신세계,2011,업체,건물,"135,869 ","2,626 ",(주)한국경영인증원,
9,국토교통부,(주)용평리조트,2011,사업장,건물,"33,940 ",649 ,(재)한국품질재단,
10,국토교통부,(주)이마트,2011,업체,건물,"498,215 ","9,588 ",삼일회계법인,
11,국토교통부,주식회사 더블유티씨서울,2011,사업장,건물,"69,381 ","1,340 ",(주)한국경영인증원,
12,국토교통부,(주)현대아이파크몰,2011,사업장,건물,"24,175 ",466 ,(재)한국화학융합시험연구원,
13,국토교통부,주식회사 호텔롯데,2011,사업장,건물,"110,402 ","2,088 ",(주)한국경영인증원,
14,국토교통부,(주)휘닉스중앙평창,2011,사업장,건물,"27,037 ",510 ,대일이엔씨기술(주),
15,국토교통부,SK네트웍스(주) 워커힐,2011,사업장,건물,"31,119 ",600 ,(주)비에스아이그룹코리아,
16,국토교통부,가톨릭대학교 서울성모병원,2011,사업장,건물,"42,037 ",812 ,환경보전협회,
17,국토교통부,건국대학교,2011,사업장,건물,"29,683 ",575 ,한국에스지에스㈜,
18,국토교통부,경북대학교,2011,업체,건물,"36,890 ",707 ,㈜한국품질보증원,
19,국토교통부,국립대학법인 서울대학교,2011,업체,건물,"115,113 ","2,219 ",(재)한국품질재단,
20,국토교통부,금호고속(주),2011,업체,교통(여객),"173,247 ","2,471 ",(주)한국경영인증원,
21,국토교통부,대구도시철도공사,2011,업체,교통(철도),"78,584 ","1,515 ",(주)한국경영인증원,
22,국토교통부,대한항공,2011,업체,교통(항공),"657,563 ","9,782 ",삼일회계법인,
23,국토교통부,롯데쇼핑 주식회사,2011,업체,건물,"749,789 ","14,088 ",한국표준협회,
24,국토교통부,부산교통공사,2011,업체,교통(철도),"152,977 ","2,949 ",(재)한국품질재단,
25,국토교통부,사회복지법인 삼성생명공익재단,2011,업체,건물,"67,079 ","1,299 ",(재)한국품질재단,
26,국토교통부,삼성물산 주식회사,2011,업체,건물,"64,938 ","1,160 ",(주)비에스아이그룹코리아,
27,국토교통부,삼성생명보험 주식회사,2011,업체,건물,"155,519 ","2,814 ",(재)한국품질재단,
28,국토교통부,서울대학교병원,2011,업체,건물,"65,013 ","1,276 ",환경보전협회,
29,국토교통부,서울메트로,2011,업체,교통(철도),"374,313 ","7,217 ",한국표준협회,
30,국토교통부,서울특별시농수산식품공사,2011,사업장,건물,"41,158 ",795 ,이큐에이㈜,
31,국토교통부,서울특별시도시철도공사,2011,업체,교통(철도),"230,813 ","4,454 ",대일이엔씨기술(주),
32,국토교통부,아시아나항공,2011,업체,교통(항공),"297,679 ","4,372 ",로이드인증원㈜,
33,국토교통부,학교법인 연세대학교,2011,사업장,건물,"148,935 ","2,855 ",삼일회계법인,
34,국토교통부,연세대학교의료원,2011,사업장,건물,n/a,n/a,n/a,n/a
35,국토교통부,이화여자대학교,2011,사업장,건물,"28,344 ",548 ,이큐에이㈜,
36,국토교통부,인천교통공사,2011,사업장,교통(철도),"48,994 ",945 ,한국표준협회,
37,국토교통부,인천국제공항공사,2011,업체,건물,"164,550 ","2,934 ",(재)한국품질재단,
38,국토교통부,재단법인 아산사회복지재단,2011,사업장,건물,"80,398 ","1,529 ",환경보전협회,
39,국토교통부,주식회사 더블유티씨서울,2011,업체,건물,"69,381 ","1,340 ",(주)한국경영인증원,
40,국토교통부,주식회사 삼원에이엠씨,2011,사업장,건물,"28,289 ",546 ,티유브이슈드코리아㈜,
41,국토교통부,주식회사 이랜드리테일,2011,업체,건물,"226,146 ","4,418 ",한국표준협회,
42,국토교통부,프라임산업(주) 테크노마트21,2011,사업장,건물,"20,636 ",398 ,대일이엔씨기술(주),
43,국토교통부,학교법인 고려중앙학원,2011,업체,건물,"39,860 ",771 ,이큐에이㈜,
44,국토교통부,학교법인 성균관대학,2011,사업장,건물,"32,547 ",625 ,이큐에이㈜,
45,국토교통부,학교법인 포항공과대학교,2011,사업장,건물,"43,957 ",966 ,안진회계법인,
46,국토교통부,학교법인 한양학원,2011,업체,건물,"82,071 ","1,581 ",(주)한국경영인증원,
47,국토교통부,한국공항공사,2011,사업장,건물,"38,051 ",731 ,티유브이슈드코리아㈜,
48,국토교통부,한국과학기술원,2011,업체,건물,"64,840 ","1,226 ",이큐에이㈜,
49,국토교통부,한국철도공사,2011,업체,교통(철도),"1,742,600 ","29,983 ",한국표준협회,
50,국토교통부,호텔롯데(롯데월드),2011,사업장,건물,n/a,n/a,n/a,n/a
51,국토교통부,홈플러스 주식회사,2011,업체,건물,"405,157 ","7,664 ",로이드인증원㈜,
52,국토교통부,홈플러스스토어즈 주식회사,2011,업체,건물,"129,655 ","2,509 ",로이드인증원㈜,
53,농림축산식품부,(유)콘프로덕츠코리아 부평공장,2011,사업장,음식료품,n/a,n/a,n/a,n/a
54,농림축산식품부,(유)콘프로덕츠코리아 이천공장,2011,사업장,음식료품,n/a,n/a,n/a,n/a
55,농림축산식품부,(주)MSC,2011,사업장,음식료품,"24,654 ",478 ,대일이엔씨기술(주),
56,농림축산식품부,(주)삼양제넥스,2011,업체,음식료품,"219,721 ","3,300 ",환경보전협회,
57,농림축산식품부,(주)창해에탄올,2011,사업장,음식료품,"17,121 ",293 ,한국표준협회,
